Major Code,Major Minor Desc,Cip Code,Major Minor Intrnl,Major Minor Both,Begin Dte,End Dte,Perkins Prog,Degr Code,Requires English,Teach Eligible,Institut Division Code,Goid,Gainful Employment,Med Dent Int Res,Part Of Teacher Prep Program,Idd Support Program,Ministry Related,Approwversion,User Name,Job Name,Job Time
MISMN,Management Inform Systems Minor,,N,N,2010-08-31 19:00:00.000,2010-10-14 19:00:00.000,N,,Y,N,,152127,N,N,N,N,N,7472787476,LSJUSTICE,w_def_major_minor,2010-12-02 06:43:16.100,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
MKTG,Marketing,529999,N,M,2010-08-31 19:00:00.000,,N,,Y,N,,152128,N,N,N,N,N,7472787477,LESTES,w_def_major_minor,2012-10-24 05:46:49.380,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
MSCMN,Mass Communications Minor,,Y,N,,,N,,Y,N,SH,152129,N,N,N,N,N,7472787478,LESTES,w_def_major_minor,2012-10-24 05:49:02.516,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
MUS,Music,,Y,M,,2010-10-14 19:00:00.000,N,,Y,N,,152130,N,N,N,N,N,7472787479,lklander,w_def_major_minor,2017-05-04 03:10:38.056,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
MUSEL,Elementary Edu. Music,,N,M,,2010-10-14 19:00:00.000,N,,Y,N,,152131,N,N,N,N,N,7472787480,LESTES,w_def_major_minor,2012-10-24 05:46:49.380,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
MUSMN,Music Minor,,N,N,,2010-10-14 19:00:00.000,N,,Y,N,,152132,N,N,N,N,N,7472787481,LESTES,w_def_major_minor,2012-10-24 05:46:49.380,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
NBMAN,Non-Business Major Management Minor,520201,Y,N,,,N,,Y,N,,152133,N,N,N,N,N,7472787482,tculberson,w_def_major_minor,2013-04-11 10:51:33.873,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
NHA,Nursing Home Administration,,Y,M,,,N,,Y,N,,152134,N,N,N,N,N,7472787483,GMITCHELL,w_def_major_minor,2017-02-28 08:53:12.610,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
NOMAJ,NONE DECLARED,990000,Y,M,,,N,,Y,N,,152135,N,N,N,N,N,7472787484,LLANDER,w_def_major_minor,2015-09-09 05:40:16.616,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
OFADM,Office Administration,,Y,M,,2010-10-14 19:00:00.000,N,,Y,N,,152136,N,N,N,N,N,7472787485,DTENNISON,w_def_major_minor,2013-10-11 05:11:23.283,dbfs:/mnt/adl/source-data/Snapshot/J1/MAJOR_MINOR_DEF/MAJOR_MINOR_DEF_202510230807.json.gz,2025-10-22 19:00:00.000
